Shipment_Date,Region,Carrier,Route,Packages,Delivery_Days,Delay_Hours,On_Time
2024-01-04,North,SwiftShip,North Hub - Metro,84,2.1,0,Yes
2024-01-09,South,ParcelPro,South Hub - Coast,72,3.8,9,No
2024-01-15,East,SwiftShip,East Hub - Capital,96,2.7,0,Yes
2024-01-22,West,RapidRoute,West Hub - Valley,65,4.2,18,No
2024-02-03,North,ParcelPro,North Hub - Metro,91,2.9,3,Yes
2024-02-10,South,RapidRoute,South Hub - Coast,78,4.6,21,No
2024-02-17,East,SwiftShip,East Hub - Capital,102,2.4,0,Yes
2024-02-24,West,ParcelPro,West Hub - Valley,69,3.9,11,No
2024-03-05,North,RapidRoute,North Hub - Rural,58,5.1,26,No
2024-03-12,South,SwiftShip,South Hub - Coast,88,3.1,0,Yes
2024-03-19,East,ParcelPro,East Hub - Capital,110,3.0,4,Yes
2024-03-26,West,SwiftShip,West Hub - Valley,74,3.5,0,Yes
2024-04-06,North,ParcelPro,North Hub - Rural,63,4.8,17,No
2024-04-13,South,RapidRoute,South Hub - Coast,81,5.3,31,No
2024-04-20,East,SwiftShip,East Hub - Capital,118,2.2,0,Yes
2024-04-27,West,ParcelPro,West Hub - Valley,77,4.1,13,No
2024-05-08,North,SwiftShip,North Hub - Metro,105,2.5,0,Yes
2024-05-15,South,ParcelPro,South Hub - Rural,70,4.4,16,No
2024-05-22,East,RapidRoute,East Hub - Capital,99,3.7,8,Yes
2024-05-29,West,SwiftShip,West Hub - Valley,86,3.2,0,Yes
2024-06-07,North,ParcelPro,North Hub - Metro,112,2.8,2,Yes
2024-06-14,South,RapidRoute,South Hub - Rural,75,5.6,38,No
2024-06-21,East,SwiftShip,East Hub - Capital,124,2.0,0,Yes
2024-06-28,West,ParcelPro,West Hub - Valley,89,3.6,7,Yes
